Naturaleza de la finca;Provincias;Duración en años;Número e importe;Periodo;Total
Fincas de secano;Total Nacional;Mayor de 15 años;Importe de hipotecas;1994;48.081
Fincas de secano;Total Nacional;No consta;Número de hipotecas;2003;149
Fincas de secano;Total Nacional;No consta;Número de hipotecas;2002;156
Fincas de secano;Total Nacional;No consta;Número de hipotecas;2001;134
Fincas de secano;Total Nacional;No consta;Número de hipotecas;2000;100
Fincas de secano;Total Nacional;No consta;Número de hipotecas;1999;153
Fincas de secano;Total Nacional;No consta;Número de hipotecas;1998;96
Fincas de secano;Total Nacional;No consta;Número de hipotecas;1997;111
Fincas de secano;Total Nacional;No consta;Número de hipotecas;1996;279
Fincas de secano;Total Nacional;No consta;Número de hipotecas;1995;127
Fincas de secano;Total Nacional;No consta;Número de hipotecas;1994;278
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;2003;19.391
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;2002;19.240
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;2001;13.158
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;2000;10.139
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;1999;14.484
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;1998;4.802
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;1997;10.289
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;1996;12.669
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;1995;27.833
Fincas de secano;Total Nacional;No consta;Importe de hipotecas;1994;32.966
Fincas de secano;02 Albacete;Total;Número de hipotecas;2003;311
Fincas de secano;02 Albacete;Total;Número de hipotecas;2002;379
Fincas de secano;02 Albacete;Total;Número de hipotecas;2001;350
Fincas de secano;02 Albacete;Total;Número de hipotecas;2000;367
Fincas de secano;02 Albacete;Total;Número de hipotecas;1999;196
Fincas de secano;02 Albacete;Total;Número de hipotecas;1998;275
Fincas de secano;02 Albacete;Total;Número de hipotecas;1997;227
Fincas de secano;02 Albacete;Total;Número de hipotecas;1996;247
Fincas de secano;02 Albacete;Total;Número de hipotecas;1995;283
Fincas de secano;02 Albacete;Total;Número de hipotecas;1994;302
Fincas de secano;02 Albacete;Total;Importe de hipotecas;2003;37.787
Fincas de secano;02 Albacete;Total;Importe de hipotecas;2002;44.983
Fincas de secano;02 Albacete;Total;Importe de hipotecas;2001;21.518
Fincas de secano;02 Albacete;Total;Importe de hipotecas;2000;24.257
Fincas de secano;02 Albacete;Total;Importe de hipotecas;1999;17.147
Fincas de secano;02 Albacete;Total;Importe de hipotecas;1998;12.808
Fincas de secano;02 Albacete;Total;Importe de hipotecas;1997;18.697
Fincas de secano;02 Albacete;Total;Importe de hipotecas;1996;16.155
