Naturaleza de la finca;Provincias;Duración en años;Número e importe;Periodo;Total
Fincas de regadío;19 Guadalajara;Hasta 9 años;Importe de hipotecas;1997;240
Fincas de regadío;19 Guadalajara;Hasta 9 años;Importe de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;Hasta 9 años;Importe de hipotecas;1995;126
Fincas de regadío;19 Guadalajara;Hasta 9 años;Importe de hipotecas;1994;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;2003;1
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;2002;2
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;2001;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;2000;1
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;1999;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;1998;1
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;1997;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;1995;1
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Número de hipotecas;1994;2
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;2003;60
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;2002;324
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;2001;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;2000;30
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;1999;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;1998;481
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;1997;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;1995;48
Fincas de regadío;19 Guadalajara;De 10 a 15 años;Importe de hipotecas;1994;469
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;2003;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;2002;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;2001;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;2000;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;1999;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;1998;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;1997;1
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;1995;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Número de hipotecas;1994;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;2003;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;2002;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;2001;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;2000;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;1999;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;1998;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;1997;102
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;1995;""
Fincas de regadío;19 Guadalajara;Mayor de 15 años;Importe de hipotecas;1994;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;2003;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;2002;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;2001;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;2000;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;1999;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;1998;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;1997;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;1995;""
Fincas de regadío;19 Guadalajara;No consta;Número de hipotecas;1994;1
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;2003;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;2002;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;2001;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;2000;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;1999;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;1998;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;1997;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;1996;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;1995;""
Fincas de regadío;19 Guadalajara;No consta;Importe de hipotecas;1994;126
Fincas de regadío;21 Huelva;Total;Número de hipotecas;2003;39
Fincas de regadío;21 Huelva;Total;Número de hipotecas;2002;22
Fincas de regadío;21 Huelva;Total;Número de hipotecas;2001;12
Fincas de regadío;21 Huelva;Total;Número de hipotecas;2000;12
Fincas de regadío;21 Huelva;Total;Número de hipotecas;1999;18
Fincas de regadío;21 Huelva;Total;Número de hipotecas;1998;2
Fincas de regadío;21 Huelva;Total;Número de hipotecas;1997;6
Fincas de regadío;21 Huelva;Total;Número de hipotecas;1996;37
Fincas de regadío;21 Huelva;Total;Número de hipotecas;1995;1
Fincas de regadío;21 Huelva;Total;Número de hipotecas;1994;""
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;2003;3.442
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;2002;959
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;2001;1.057
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;2000;6.136
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;1999;3.119
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;1998;631
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;1997;1.587
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;1996;1.220
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;1995;18
Fincas de regadío;21 Huelva;Total;Importe de hipotecas;1994;""
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;2003;6
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;2002;3
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;2001;1
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;2000;2
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;1999;2
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;1998;1
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;1997;""
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;1996;2
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;1995;1
Fincas de regadío;21 Huelva;Hasta 9 años;Número de hipotecas;1994;""
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;2003;592
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;2002;84
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;2001;60
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;2000;60
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;1999;1.220
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;1998;391
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;1997;""
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;1996;240
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;1995;18
Fincas de regadío;21 Huelva;Hasta 9 años;Importe de hipotecas;1994;""
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;2003;10
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;2002;11
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;2001;11
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;2000;8
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;1999;12
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;1998;""
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;1997;5
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;1996;35
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;1995;""
Fincas de regadío;21 Huelva;De 10 a 15 años;Número de hipotecas;1994;""
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;2003;1.464
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;2002;448
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;2001;997
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;2000;5.980
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;1999;1.743
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;1998;""
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;1997;733
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;1996;974
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;1995;""
Fincas de regadío;21 Huelva;De 10 a 15 años;Importe de hipotecas;1994;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;2003;23
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;2002;8
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;2001;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;2000;2
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;1999;4
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;1998;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;1997;1
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;1996;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;1995;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Número de hipotecas;1994;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;2003;1.386
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;2002;427
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;2001;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;2000;102
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;1999;156
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;1998;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;1997;853
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;1996;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;1995;""
Fincas de regadío;21 Huelva;Mayor de 15 años;Importe de hipotecas;1994;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;2003;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;2002;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;2001;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;2000;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;1999;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;1998;1
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;1997;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;1996;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;1995;""
Fincas de regadío;21 Huelva;No consta;Número de hipotecas;1994;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;2003;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;2002;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;2001;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;2000;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;1999;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;1998;240
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;1997;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;1996;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;1995;""
Fincas de regadío;21 Huelva;No consta;Importe de hipotecas;1994;""
Fincas de regadío;22 Huesca;Total;Número de hipotecas;2003;231
Fincas de regadío;22 Huesca;Total;Número de hipotecas;2002;200
Fincas de regadío;22 Huesca;Total;Número de hipotecas;2001;200
Fincas de regadío;22 Huesca;Total;Número de hipotecas;2000;262
Fincas de regadío;22 Huesca;Total;Número de hipotecas;1999;297
Fincas de regadío;22 Huesca;Total;Número de hipotecas;1998;224
Fincas de regadío;22 Huesca;Total;Número de hipotecas;1997;273
Fincas de regadío;22 Huesca;Total;Número de hipotecas;1996;199
Fincas de regadío;22 Huesca;Total;Número de hipotecas;1995;221
Fincas de regadío;22 Huesca;Total;Número de hipotecas;1994;333
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;2003;13.966
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;2002;8.872
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;2001;8.477
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;2000;10.950
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;1999;36.536
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;1998;7.489
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;1997;9.923
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;1996;6.395
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;1995;6.028
Fincas de regadío;22 Huesca;Total;Importe de hipotecas;1994;9.652
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;2003;23
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;2002;63
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;2001;35
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;2000;68
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;1999;57
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;1998;47
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;1997;71
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;1996;42
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;1995;75
Fincas de regadío;22 Huesca;Hasta 9 años;Número de hipotecas;1994;93
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;2003;919
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;2002;2.300
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;2001;3.074
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;2000;1.340
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;1999;27.184
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;1998;505
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;1997;2.037
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;1996;2.025
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;1995;1.352
Fincas de regadío;22 Huesca;Hasta 9 años;Importe de hipotecas;1994;5.301
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;2003;182
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;2002;117
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;2001;120
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;2000;160
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;1999;197
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;1998;162
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;1997;196
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;1996;152
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;1995;141
Fincas de regadío;22 Huesca;De 10 a 15 años;Número de hipotecas;1994;231
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;2003;11.245
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;2002;5.691
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;2001;3.884
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;2000;6.701
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;1999;7.891
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;1998;6.335
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;1997;7.663
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;1996;4.255
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;1995;4.538
Fincas de regadío;22 Huesca;De 10 a 15 años;Importe de hipotecas;1994;4.297
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;2003;23
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;2002;20
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;2001;34
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;2000;34
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;1999;26
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;1998;11
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;1997;5
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;1996;2
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;1995;4
Fincas de regadío;22 Huesca;Mayor de 15 años;Número de hipotecas;1994;9
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;2003;1.778
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;2002;881
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;2001;1.330
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;2000;2.909
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;1999;1.424
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;1998;583
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;1997;204
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;1996;84
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;1995;108
Fincas de regadío;22 Huesca;Mayor de 15 años;Importe de hipotecas;1994;54
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;2003;3
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;2002;""
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;2001;11
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;2000;""
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;1999;17
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;1998;4
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;1997;1
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;1996;3
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;1995;1
Fincas de regadío;22 Huesca;No consta;Número de hipotecas;1994;""
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;2003;24
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;2002;""
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;2001;189
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;2000;""
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;1999;42
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;1998;66
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;1997;18
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;1996;30
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;1995;24
Fincas de regadío;22 Huesca;No consta;Importe de hipotecas;1994;""
Fincas de regadío;23 Jaén;Total;Número de hipotecas;2003;137
Fincas de regadío;23 Jaén;Total;Número de hipotecas;2002;113
Fincas de regadío;23 Jaén;Total;Número de hipotecas;2001;163
Fincas de regadío;23 Jaén;Total;Número de hipotecas;2000;133
Fincas de regadío;23 Jaén;Total;Número de hipotecas;1999;133
Fincas de regadío;23 Jaén;Total;Número de hipotecas;1998;72
Fincas de regadío;23 Jaén;Total;Número de hipotecas;1997;87
Fincas de regadío;23 Jaén;Total;Número de hipotecas;1996;74
Fincas de regadío;23 Jaén;Total;Número de hipotecas;1995;30
Fincas de regadío;23 Jaén;Total;Número de hipotecas;1994;53
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;2003;13.094
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;2002;15.537
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;2001;13.724
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;2000;9.670
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;1999;8.366
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;1998;7.224
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;1997;9.153
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;1996;4.832
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;1995;2.266
Fincas de regadío;23 Jaén;Total;Importe de hipotecas;1994;6.214
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;2003;9
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;2002;7
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;2001;14
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;2000;13
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;1999;13
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;1998;10
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;1997;27
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;1996;13
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;1995;12
Fincas de regadío;23 Jaén;Hasta 9 años;Número de hipotecas;1994;18
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;2003;332
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;2002;705
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;2001;4.944
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;2000;1.094
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;1999;487
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;1998;805
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;1997;2.278
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;1996;282
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;1995;415
Fincas de regadío;23 Jaén;Hasta 9 años;Importe de hipotecas;1994;986
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;2003;88
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;2002;73
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;2001;64
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;2000;77
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;1999;90
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;1998;50
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;1997;57
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;1996;55
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;1995;14
Fincas de regadío;23 Jaén;De 10 a 15 años;Número de hipotecas;1994;34
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;2003;10.205
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;2002;8.906
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;2001;3.566
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;2000;6.365
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;1999;5.746
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;1998;5.842
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;1997;6.407
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;1996;4.111
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;1995;1.659
Fincas de regadío;23 Jaén;De 10 a 15 años;Importe de hipotecas;1994;5.187
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;2003;39
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;2002;31
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;2001;85
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;2000;43
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;1999;29
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;1998;12
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;1997;3
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;1996;6
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;1995;4
Fincas de regadío;23 Jaén;Mayor de 15 años;Número de hipotecas;1994;1
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;2003;2.546
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;2002;5.305
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;2001;5.214
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;2000;2.206
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;1999;2.128
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;1998;577
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;1997;469
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;1996;439
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;1995;192
Fincas de regadío;23 Jaén;Mayor de 15 años;Importe de hipotecas;1994;42
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;2003;1
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;2002;2
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;2001;""
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;2000;""
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;1999;1
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;1998;""
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;1997;""
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;1996;""
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;1995;""
Fincas de regadío;23 Jaén;No consta;Número de hipotecas;1994;""
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;2003;11
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;2002;621
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;2001;""
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;2000;""
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;1999;12
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;1998;""
Fincas de regadío;23 Jaén;No consta;Importe de hipotecas;1997;""
