Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;01 Andalucía;;Vivienda usada;2010;38.796
Total Nacional;01 Andalucía;;Vivienda usada;2009;38.031
Total Nacional;01 Andalucía;;Vivienda usada;2008;56.709
Total Nacional;01 Andalucía;;Vivienda usada;2007;85.656
Total Nacional;01 Andalucía;;Vivienda libre;2021;107.877
Total Nacional;01 Andalucía;;Vivienda libre;2020;75.326
Total Nacional;01 Andalucía;;Vivienda libre;2019;89.958
Total Nacional;01 Andalucía;;Vivienda libre;2018;91.351
Total Nacional;01 Andalucía;;Vivienda libre;2017;80.945
Total Nacional;01 Andalucía;;Vivienda libre;2016;71.689
Total Nacional;01 Andalucía;;Vivienda libre;2015;63.967
Total Nacional;01 Andalucía;;Vivienda libre;2014;58.387
Total Nacional;01 Andalucía;;Vivienda libre;2013;57.940
Total Nacional;01 Andalucía;;Vivienda libre;2012;55.360
Total Nacional;01 Andalucía;;Vivienda libre;2011;63.855
Total Nacional;01 Andalucía;;Vivienda libre;2010;73.835
Total Nacional;01 Andalucía;;Vivienda libre;2009;77.415
Total Nacional;01 Andalucía;;Vivienda libre;2008;108.947
Total Nacional;01 Andalucía;;Vivienda libre;2007;151.222
Total Nacional;01 Andalucía;;Vivienda protegida;2021;11.095
Total Nacional;01 Andalucía;;Vivienda protegida;2020;8.155
Total Nacional;01 Andalucía;;Vivienda protegida;2019;10.146
Total Nacional;01 Andalucía;;Vivienda protegida;2018;10.061
Total Nacional;01 Andalucía;;Vivienda protegida;2017;8.662
Total Nacional;01 Andalucía;;Vivienda protegida;2016;7.663
Total Nacional;01 Andalucía;;Vivienda protegida;2015;6.740
Total Nacional;01 Andalucía;;Vivienda protegida;2014;5.582
Total Nacional;01 Andalucía;;Vivienda protegida;2013;6.191
Total Nacional;01 Andalucía;;Vivienda protegida;2012;7.583
Total Nacional;01 Andalucía;;Vivienda protegida;2011;8.898
Total Nacional;01 Andalucía;;Vivienda protegida;2010;9.360
Total Nacional;01 Andalucía;;Vivienda protegida;2009;9.225
Total Nacional;01 Andalucía;;Vivienda protegida;2008;11.251
Total Nacional;01 Andalucía;;Vivienda protegida;2007;16.581
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2021;13.991
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2020;9.311
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2019;10.746
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2018;10.563
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2017;8.901
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2016;9.309
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2015;7.305
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2014;6.829
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2013;8.209
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2012;7.461
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2011;9.884
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2010;9.845
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2009;11.026
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2008;14.324
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2007;21.472
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2021;3.426
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2020;2.066
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2019;2.636
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2018;2.344
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2017;2.337
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2016;2.170
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2015;2.448
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2014;4.151
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2013;5.713
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2012;5.046
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2011;5.388
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2010;6.738
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2009;7.604
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2008;9.354
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2007;11.965
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2021;10.565
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2020;7.245
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2019;8.110
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2018;8.219
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2017;6.564
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2016;7.139
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2015;4.857
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2014;2.678
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2013;2.496
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2012;2.415
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2011;4.496
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2010;3.107
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2009;3.422
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2008;4.970
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2007;9.507
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2021;13.311
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2020;8.853
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2019;10.157
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2018;10.072
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2017;8.484
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2016;8.963
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2015;7.049
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2014;6.569
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2013;7.856
